generator,method,alpha_level,M,KS,CvM,AD,time_seconds


HawkesExp,naive_rtc,0.01,500,500,500,500,20.228538700030185
HawkesExp,naive_rtc,0.05,500,500,500,500,18.378254299983382
HawkesExp,naive_rtc,0.2,500,500,500,500,18.60231730004307
HawkesExp,naive_rtc,0.01,500,500,500,500,20.211197900003754
HawkesExp,naive_rtc,0.05,500,500,500,500,18.648163600009866
HawkesExp,naive,0.01,500,4,2,120,18.280612399918027
HawkesExp,naive,0.05,500,15,25,240,16.38907020003535
HawkesExp,naive,0.2,500,141,190,382,15.198087000055239
HawkesMultiExp,naive,0.01,500,0,0,0,1363.6185143999755
HawkesMultiExp,naive_rtc,0.01,500,8,7,38,129.84275379999963
HawkesMultiExp,naive_rtc,0.05,500,25,21,54,129.15080399999897
HawkesMultiExp,naive_rtc,0.2,500,58,53,101,128.69941530000142
HawkesExp,naive_rtc,0.01,500,0,0,0,57.61446629999955
HawkesExp,naive_rtc,0.05,500,0,0,3,56.03166810000039
HawkesExp,naive_rtc,0.2,500,5,5,27,54.784502800001064
HawkesExp,khmaladze,0.05,50,3,3,3,2.4310605000064243
HawkesExp,khmaladze,0.05,50,4,5,3,2.290014100028202
