generator,method,alpha_level,M,KS,CvM,AD,time_seconds
HawkesMultiExp,naive,0.01,500,0,0,0,47.731113800022285
HawkesMultiExp,naive,0.05,500,0,0,0,45.17021949996706
HawkesMultiExp,naive,0.2,500,9,7,20,45.838553500012495
HawkesMultiExp,khmaladze,0.01,500,13,13,15,46.65563799999654
HawkesMultiExp,khmaladze,0.05,500,31,25,27,46.337196599983145
HawkesMultiExp,khmaladze,0.2,500,100,95,98,45.48562569997739
HawkesMultiExp,naive_rtc,0.01,500,0,0,0,47.52087100001518
HawkesMultiExp,naive_rtc,0.05,500,0,0,0,45.59171080001397
HawkesMultiExp,naive_rtc,0.2,500,0,0,3,45.546882700000424
HawkesExp,naive,0.01,1000,0,0,0,117.68663630000083
HawkesExp,naive,0.01,500,0,0,0,45.15100980002899
HawkesExp,naive,0.05,500,1,0,0,43.59941989998333
HawkesExp,naive,0.2,500,8,8,7,43.69247099995846
HawkesExp,khmaladze,0.01,500,6,3,3,44.082240899966564
HawkesExp,khmaladze,0.05,500,25,26,21,43.956488299998455
HawkesExp,khmaladze,0.2,500,109,105,94,43.54773180000484
HawkesExp,naive_rtc,0.01,500,40,20,379,44.09514150000177
HawkesExp,naive_rtc,0.05,500,184,201,461,44.29336260003038
HawkesExp,naive_rtc,0.2,500,416,449,498,44.201002300018445
HawkesPL,naive,0.01,1000,0,0,0,124.7953801000258
HawkesPL,naive,0.01,500,0,0,0,48.330303900002036
HawkesPL,naive,0.05,500,0,0,0,47.22078119998332
HawkesPL,naive,0.2,500,9,6,10,46.98716570000397
HawkesPL,khmaladze,0.01,500,6,7,7,47.92101270001149
HawkesPL,khmaladze,0.05,500,28,28,33,47.885341199988034
HawkesPL,khmaladze,0.2,500,107,105,101,47.22638060001191
HawkesPL,naive_rtc,0.01,500,0,0,4,47.19433690002188
HawkesPL,naive_rtc,0.05,500,0,0,17,46.77344840002479
HawkesPL,naive_rtc,0.2,500,17,13,135,46.773152599984314
